Year,Week,Team,Score,Opponent,Opponent_score,Score_margin,Outcome,Type,Top_scoring_week,Lowest_scoring_week
2019,12.0,Luca,121.0,Evan,77.0,44.0,Win,Regular,0,0
2019,12.0,Zachary,102.0,Gavin,145.0,-43.0,Loss,Regular,0,0
2019,12.0,Alexander,95.0,Cody,75.0,20.0,Win,Regular,0,0
2019,12.0,Evan,77.0,Luca,121.0,-44.0,Loss,Regular,0,0
2019,12.0,Matt,76.0,Nate,124.0,-48.0,Loss,Regular,0,0
2019,12.0,Cody,75.0,Alexander,95.0,-20.0,Loss,Regular,0,1
2019,13.0,Gavin,255.0,Nate,252.0,3.0,Win,Playoff,1,0
2019,13.0,Nate,252.0,Gavin,255.0,-3.0,Loss,Playoff,0,0
2019,13.0,Alexander,233.0,Dylan,176.0,57.0,Win,Playoff,0,0
2019,13.0,Dylan,176.0,Alexander,233.0,-57.0,Loss,Playoff,0,1
2019,14.0,Gavin,259.0,Alexander,254.0,5.0,Win,Playoff,1,0
2019,14.0,Alexander,254.0,Gavin,259.0,-5.0,Loss,Playoff,0,1
2020,1.0,Cody,207.2,Evan,126.8,80.39999999999999,Win,Regular,1,0
